Direction,Price,m2,Floor,Room,Description
0,"
Estudio en calle de Santoña, Zofío, Madrid
",675€/mes, sin ascensor,2 horas,29 m²,"
RESERVAS E INQUIETUDES
Para obtener información detallada y reservar en línea, haga clic debajo del mapa en ""Enlace adicional"".
TÉRMINOS Y CONDICIONES DE ALOJAMIENTO:
- Fecha de disponibilidad: 01/12/2023
- Duración mínima del alquiler: 120 días
- Máximo de huéspedes: 1
- Todas las facturas incluid
"
1,"
Piso en calle de Játiva, 9, Adelfas, Madrid
",1.225€/mes,77 m²,Bajo con ascensor,2 hab.,"
Urbanización junto metro Pacifico.
Vivienda sin amueblar
2 dormitorios.
Salón independiente.
Cocina amueblada pero SIN ELECTRODOMÉSTICOS.
Tendedero.
Baño completo.
3 armarios empotrados.
Calefacción por gas natural.
Piscina.
Zona infantil.
Pista de padell.
Vigilancia 24 horas.
Plaza de garaje.
"
2,"
Estudio en carretera Canillas, 119, Canillas, Madrid
",850€/mes,Planta 6ª exterior con ascensor,2 horas,45 m²,"
El metro más cercano es mar de cristal. Recién amueblado. La vivienda la enseña directamente el portero en horario de 9:30-14:00 y 18:00 a 20:30 h de lunes a viernes
la casa dispone de:
Portero fisico.
"
3,"
Ático en calle Gran Vía, Palacio, Madrid
",2.800€/mes,115 m²,Planta 9ª exterior con ascensor,3 hab.,"
PLAZA ESPAÑA.
Fantástico ÁTICO de 3 dormitorios con Amplia terraza de 25 m2 aprox.
Magnificas vistas al Palacio Real.
Junto al Hotel RIU, Teatro Coliseun y la nueva tienda de Zara,
2 baños con plato de ducha, uno de ellos en suite.
Cocina independiente amueblada y totalmente equipada.
Climatización
"
4,"
Dúplex en Concepción, Madrid
",3.500€/mes,223 m²,Planta 2ª exterior con ascensor,3 hab.,"
Duplex amueblado con una terraza espectacular en una urbanización con piscina en una calle muy tranquila en Concepción.
Se puede alquilar para menos de 1 año.
IMMOMADRID, une équipe française à votre service.
DISTRIBUCIÓN:
PLANTA PRINCIPAL: entrada con armario y aseo de invitados. Amplio salón con
"
5,"
Chalet pareado en ronda de Cala Basa, Conde Orgaz-Piovera, Madrid
",5.500€/mes,356 m²,14 oct ,5 hab.,"
CHALET CON APARTAMENTO INDEPENDENTE


Colomba Boutique Inmobiliaria, alquila, estupendo chalet pareado SIN AMUEBLAR en Conde Orgaz.
El chalet es muy amplio, con jardin y piscina privados,
El chalet estará disponible en principios de diciembre.
Se alquila sin amueblar pero con cocina equipada con electrodomésticos de alta gama.
Las
"
6,"
Piso en calle jemenuño, 2, Imperial, Madrid
",1.500€/mes,90 m²,Planta 1ª exterior con ascensor,2 hab.,"
90 m² construidos, 70 m² útiles. 2 habitaciones 2 baños CENTRO DE MADRID. URBANIZACION CERRADA CON PISCINA
Muy buen estado.
Disponibilidad sobre 01/12/2023 aprox. Por traslado de inquilino actual que está hasta esa fecha aprox.
Calefacción independiente gas natural
Agua caliente independiente gas na
"
7,"
Piso en calle del General Arrando, 40, Almagro, Madrid
",2.650€/mes,114 m²,Planta 2ª con ascensor,2 hab.,"
Almagro Una de las mejores zonas de Madrid.
Edificio totalmente rehabilitado.
Vivienda de 2 dormitorios y 2 baños en suite.
Cocina independiente totalmente amueblada y equipada.
Armarios empotrados.
Aire acondicionado por conductos y sectorizado por estancias.
Calefacción por Gas Natural.
Vent
"
8,"
Estudio en calle Industria, Puerta del Ángel, Madrid
",1.100€/mes,Planta 1ª exterior con ascensor,2 horas,50 m²,"
Vivienda completamente amueblada, wifi y limpieza incluidos.
Tratarás directamente con el propietario del edificio. Estaremos permanentemente a tu disposición para que tu hogar sea una experiencia inolvidable. Sin comisiones de agencia, con la tranquilidad de saber que un equipo dedicado estará par
"
9,"
Piso en Bernabéu-Hispanoamérica, Madrid
",3.000€/mes,162 m²,Planta 1ª exterior con ascensor,4 hab.,"
La Inmobiliaria Internacional CPM gestiona este amplio y luminoso piso sin amueblar, de 162 m2 y 4 habitaciones, próximo a la estación de metro Santiago Bernabéu, que consta de los siguientes elementos:
Hall de entrada. Una cocina, totalmente equipada, con todos los electrodomésticos incluidos, que
"
10,"
Piso en pasaje José Sánchez Pescador, 4, Pacífico, Madrid
",920€/mes,55 m²,Planta 4ª exterior con ascensor,1 hab.,"
Se alquila estupenda vivienda de 1992 en Pacífico, Retiro de55 m2 (44 m2 útiles según la Dirección General de Catastro) exterior y muy luminosa en finca con ascensor.
Consta de 1 dormitorio, cuarto de baño con plato de ducha, amplio salón comedor con mirador, y cocina americana en línea de pared.
"
11,"
Dúplex en Las Tablas, Madrid
",2.100€/mes,105 m²,Planta 5ª exterior con ascensor,2 hab.,"
La Inmobiliaria Internacional CPM gestiona este magnífico y luminoso ático dúplex amueblado, de 105 m2 y 2 habitaciones y terraza, situado en urbanización cerrada con estupendas zonas comunes, próximo al metro Tablas, que consta de los siguientes elementos:
Planta entrada: Hall de entrada. Una coci
"
12,"
Estudio en calle de Vallehermoso, Arapiles, Madrid
",1.299€/mes, sin ascensor,2 horas,20 m²,"
RESERVAS E INQUIETUDES
Para obtener información detallada y reservar en línea, haga clic debajo del mapa en ""Enlace adicional"".
TÉRMINOS Y CONDICIONES DE ALOJAMIENTO:
- Fecha de disponibilidad: 14/12/2023
- Duración mínima del alquiler: 90 días
- Máximo de huéspedes: 2
- Todas las facturas incluida
"
13,"
Piso en Castellana, Madrid
",3.500€/mes,153 m²,Planta 1ª exterior con ascensor,3 hab.,"
La Inmobiliaria Internacional CPM gestiona este magnífico y luminoso piso sin amueblar, de 153 m2, y 3 dormitorios; próximo al metro Núñez de Balboa, que consta de los siguientes elementos:
Hall de entrada. Una amplia y moderna cocina con office, totalmente equipada y amueblada, con todos los elect
"
14,"
Piso en calle Canarias, Palos de Moguer, Madrid
",1.200€/mes,90 m²,Planta 2ª exterior con ascensor,3 hab.,"
Muy luminoso, Céntrico. Con calefacción central y agua caliente. Tres dormitorios, exteriores, baño completo, terraza. Amueblado. A pocos minutos de metro y renfe Delicias y Atocha Renfe.
"
15,"
Dúplex en calle de Velázquez, 164, El Viso, Madrid
",5.500€/mes,313 m²,Planta 1ª con ascensor,5 hab.,"
VIBA ofrece en régimen de alquiler este maravilloso DUPLEX de 235 metros distribuidos en 2 plantas.
Jardín privado de 55 m2 útiles aprox.
3 plazas de garaje y trastero.
En su planta baja nos encontramos, el hall de entrada con armario empotrado, dando paso un amplio salón-comedor dividido en 2 amb
"
